time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-03-01 00:00:00,-2.2,-8.9,60,0,,340,27.7,,1015.6,,1
2025-03-01 01:00:00,-3.3,-9.3,63,0,,330,29.5,,1016.8,,1
2025-03-01 02:00:00,-4.4,-10,65,0,,340,25.9,,1017.3,,1
2025-03-01 03:00:00,-4.4,-10,65,0,,330,25.9,,1018,,1
2025-03-01 04:00:00,-5.6,-11.1,65,0,,340,29.5,,1018.9,,1
2025-03-01 05:00:00,-5.6,-11.1,65,0,,330,24.1,,1020.3,,1
2025-03-01 06:00:00,-6.7,-11.1,71,0,,330,25.9,,1021.9,,1
2025-03-01 07:00:00,-6.7,-11.1,71,0,,330,22.3,,1022.7,,1
2025-03-01 08:00:00,-6.7,-11.1,71,0,,340,27.7,,1024.2,,1
2025-03-01 09:00:00,-5.6,-11.1,65,0,,360,29.5,,1025.4,,1
2025-03-01 10:00:00,-4.4,-13.2,50,0,,360,29.5,,1025.9,,3
2025-03-01 11:00:00,-2.8,-14.5,40,0,,350,27.7,,1026.5,,3
2025-03-01 12:00:00,-1.7,-15.5,34,0,,340,18.4,,1026.4,,1
2025-03-01 13:00:00,-1.1,-15,34,0,,340,13,,1026.2,,1
2025-03-01 14:00:00,-0.6,-16,30,0,,340,13,,1025.2,,1
2025-03-01 15:00:00,0.6,-16.2,27,0,,20,14.8,,1025,,3
2025-03-01 16:00:00,0.6,-15.4,29,0,,340,16.6,,1024.8,,3
2025-03-01 17:00:00,-1.1,-16.1,31,0,,20,9.4,,1024.7,,2
2025-03-01 18:00:00,-2.8,-15.1,38,0,,350,11.2,,1025.1,,3
2025-03-01 19:00:00,-3.3,-15,40,0,,0,0,,1025.3,,1
2025-03-01 20:00:00,-5.6,-13.2,55,0,,300,5.4,,1025.4,,3
2025-03-01 21:00:00,-7.8,-12.1,71,0,,0,0,,1025.6,,3
2025-03-01 22:00:00,-8.3,-11.8,76,0,,0,0,,1025.6,,3
2025-03-01 23:00:00,-7.2,-12.1,68,0,,0,0,,1025.4,,3
2025-03-02 00:00:00,-8.3,-12.8,70,0,,0,0,,1025.4,,3
2025-03-02 01:00:00,-9.4,-12.8,76,0,,0,0,,1025.5,,2
2025-03-02 02:00:00,-10.6,-13.4,80,0,,0,0,,1025.7,,1
2025-03-02 03:00:00,-10,-11.7,87,0,,0,0,,1025.2,,1
2025-03-02 04:00:00,-8.9,-13.4,70,0,,0,0,,1025.4,,1
2025-03-02 05:00:00,-10,-12.8,80,0,,0,0,,1025.3,,1
2025-03-02 06:00:00,-10,-12.8,80,0,,130,5.4,,1025.4,,3
2025-03-02 07:00:00,-10,-12.8,80,0,,120,7.6,,1025.2,,2
2025-03-02 08:00:00,-7.8,-11.1,77,0,,130,7.6,,1025.3,,3
2025-03-02 09:00:00,-3.3,-10.6,57,0,,140,11.2,,1025,,3
2025-03-02 10:00:00,0,-11.1,43,0,,150,14.8,,1024.6,,1
2025-03-02 11:00:00,1.7,-13.2,32,0,,150,22.3,,1023.9,,2
2025-03-02 12:00:00,3.3,-13.5,28,0,,130,18.4,,1023,,2
2025-03-02 13:00:00,5.6,-12.9,25,0,,170,25.9,,1021.6,,1
2025-03-02 14:00:00,6.7,-11.9,25,0,,170,25.9,,1020.4,,1
2025-03-02 15:00:00,7.8,-11.5,24,0,,170,22.3,,1019.4,,1
2025-03-02 16:00:00,8.3,-11.1,24,0,,150,27.7,,1018.1,,1
2025-03-02 17:00:00,7.2,-10.5,27,0,,140,25.9,,1017.1,,1
2025-03-02 18:00:00,5.6,-9.8,32,0,,140,18.4,,1016.8,,1
2025-03-02 19:00:00,3.9,-9.8,36,0,,150,16.6,,1016.7,,1
2025-03-02 20:00:00,2.8,-9.5,40,0,,150,16.6,,1016.6,,1
2025-03-02 21:00:00,0,-9.4,49,0,,140,11.2,,1016.6,,1
2025-03-02 22:00:00,-0.6,-8.7,54,0,,120,5.4,,1016.5,,2
2025-03-02 23:00:00,-1.1,-9,55,0,,110,5.4,,1016.6,,1
2025-03-03 00:00:00,0.6,-8.4,51,0,,100,9.4,,1015.7,,1
2025-03-03 01:00:00,0.6,-7.9,53,0,,110,9.4,,1014.8,,2
2025-03-03 02:00:00,0,-7.7,56,0,,130,11.2,,1014.7,,1
2025-03-03 03:00:00,1.1,-7.2,54,0,,130,13,,1014.2,,2
2025-03-03 04:00:00,1.1,-7.2,54,0,,130,11.2,,1013,,3
2025-03-03 05:00:00,0,-6.6,61,0,,140,11.2,,1012.6,,2
2025-03-03 06:00:00,1.1,-6.7,56,0,,150,16.6,,1012.6,,1
2025-03-03 07:00:00,1.1,-5.6,61,0,,150,13,,1012.7,,1
2025-03-03 08:00:00,2.2,-5,59,0,,140,13,,1013.1,,2
2025-03-03 09:00:00,5.6,-4,50,0,,140,14.8,,1012.8,,1
2025-03-03 10:00:00,10,-2.3,42,0,,180,16.6,,1011.9,,1
2025-03-03 11:00:00,12.2,-1,40,0,,170,20.5,,1011,,1
2025-03-03 12:00:00,15.6,0.6,36,0,,190,24.1,,1009.7,,1
2025-03-03 13:00:00,17.2,2,36,0,,150,20.5,,1007.9,,3
2025-03-03 14:00:00,17.8,2.9,37,0,,170,20.5,,1006.8,,3
2025-03-03 15:00:00,17.8,2.9,37,0,,150,24.1,,1005.4,,3
2025-03-03 16:00:00,17.2,3.8,41,0,,160,27.7,,1004.4,,3
2025-03-03 17:00:00,16.1,4.5,46,0,,160,22.3,,1004,,3
2025-03-03 18:00:00,15.6,4.9,49,0,,170,20.5,,1003.7,,3
2025-03-03 19:00:00,14.4,4.9,53,0,,170,18.4,,1004.1,,3
2025-03-03 20:00:00,13.9,5,55,0,,160,16.6,,1003.4,,3
2025-03-03 21:00:00,12.8,4.5,57,,,0,0,,1002.3,,3
2025-03-03 22:00:00,11.1,5.6,69,,,150,9.4,,1002.9,,9
2025-03-03 23:00:00,9.4,4.4,71,0,,110,9.4,,1001.8,,3
2025-03-04 00:00:00,9.4,5,74,0,,0,0,,1001.4,,7
2025-03-04 01:00:00,10,4.4,68,0,,100,9.4,,1000.7,,3
2025-03-04 02:00:00,9.4,5,74,,,0,0,,1001.2,,3
2025-03-04 03:00:00,9.4,5,74,0.3,,70,9.4,,999.3,,8
2025-03-04 04:00:00,7.8,6.1,89,1.8,,100,5.4,,1000.2,,8
2025-03-04 05:00:00,7.8,6.1,89,,,100,7.6,,1000.3,,7
2025-03-04 06:00:00,8.3,7.2,93,0.5,,90,9.4,,999.4,,3
2025-03-04 07:00:00,9.4,7.8,90,0,,120,16.6,,997.1,,3
2025-03-04 08:00:00,10,8.3,89,0,,140,13,,997.5,,3
2025-03-04 09:00:00,10,8.3,89,0,,130,16.6,,996.2,,3
